"query_id","text","dataset_id"
"1104300",which part of the life cycle is dominant in bryophyte?,trec-dl-2021
"1104447",which kind of continental boundary is formed where two plates move horizontally past one another?,trec-dl-2021
"1107704",what was the main benefit of a single european currency?,trec-dl-2021
"1107821",what was radio free europe?,trec-dl-2021
"1109840",what law is concerned with the safety and health conditions in the majority of private-sector industries?,trec-dl-2021
"1110996",what is the role of t tubules,trec-dl-2021
"1111577",what is the meaning of the phrase jump on the bandwagon,trec-dl-2021
"1113361",what is prior restraint?,trec-dl-2021
"1117243",what helps u nails grow,trec-dl-2021
"1117298",what happens when teeth turn gray,trec-dl-2021
"1118716",what does karl marx say about the nature of man,trec-dl-2021
"596569",what classes do i need to take to go to vet school,trec-dl-2021
"1121909",what are the instruments in a woodwind quintet,trec-dl-2021
"337656",how old was the elephant man when he died,trec-dl-2021
"1128632",is levothyroxine likely to cause weight loss or weight gain,trec-dl-2021
"1129560",accounting definition of building improvements,trec-dl-2021
"845121",what is the sacraments of service in the catholic church,trec-dl-2021
"615176",what court has appellate jurisdiction circuits based on population distribution,trec-dl-2021
"364210",how to help a jammed finger,trec-dl-2021
"629937",what does a popped blood vessel in hand feel like,trec-dl-2021
"632075",what does an outreach committee do,trec-dl-2021
"935964",when are whales most active for whale watching in massachusetts,trec-dl-2021
"112700",crest syndrome esophageal dysfunction,trec-dl-2021
"806694",what is the average pay scale in massachusetts for a sonographer,trec-dl-2021
"646091",what does prenatal care include,trec-dl-2021
"647362",what does s/p mean medical,trec-dl-2021
"395948",information about who howard gardner and what does he do,trec-dl-2021
"661905",what foods should you stay away from if you have asthma,trec-dl-2021
"935353",when and where did the battle of manassas take place,trec-dl-2021
"681645",what is a divorce bench trial,trec-dl-2021
"688007",what is a kanima,trec-dl-2021
"952262",when is the best time to do a home pregnancy urine test,trec-dl-2021
"952284",when is the best time to fish with a crawfish color bait,trec-dl-2021
"168329",does light intensity or concentration of carbon dioxide have a higher rate of photosynthesis,trec-dl-2021
"421946",is pulse ox screening for children law?,trec-dl-2021
"707882",what is acumen fuse,trec-dl-2021
"30611",average age of men at marriage,trec-dl-2021
"975079",where does the welsh language originate from,trec-dl-2021
"818583",what is the difference between the range rover and the range rover sport,trec-dl-2021
"190623",for what is david w. taylor known,trec-dl-2021
"1006728",which cerebral lobe of the brain is involved in our ability to see?,trec-dl-2021
"226975",how does my baby get submitted for medicaid after birth,trec-dl-2021
"493490",schizandra berry benefits,trec-dl-2021
"237669",how is the oil pollution act of 1990 effect oil companies,trec-dl-2021
"764738",what is lbm in body composition,trec-dl-2021
"505390",supartz injections what does it made of,trec-dl-2021
"508292",symptoms of neuroma pain,trec-dl-2021
"253263",how long does it take for a sprained wrist to heal,trec-dl-2021
"1040198",who is the final arbiter of florida law in instances where there is no federal authority?,trec-dl-2021
"2000511",average bahamas temperature at the end of october,trec-dl-2022
"2000719",business architect role definition,trec-dl-2022
"2001532",example of what a family advocate does,trec-dl-2022
"2001908",how do I replace the burners on a ducane grill,trec-dl-2022
"2001975",how do i insert notes under a slide in powerpoint,trec-dl-2022
"2002146",how do you root a yucca plant,trec-dl-2022
"2002269",how fast does a rabbit grow,trec-dl-2022
"2002533",how much average cost to plan a 8' tree?,trec-dl-2022
"2002798",how to age steak,trec-dl-2022
"2003157",how to cook frozen ham steak on nuwave oven,trec-dl-2022
"2003322",how to dilute ceftriaxone vial,trec-dl-2022
"2003976",how to put together a scuba regulator,trec-dl-2022
"2004237",how to transfer deposit to another account online westpac,trec-dl-2022
"2004253",how to trim blank space in excel,trec-dl-2022
"2005810",what are the entities of the executive branch,trec-dl-2022
"2005861",what are the three countries in 1984,trec-dl-2022
"2006211",what does auslan interpreted performance mean,trec-dl-2022
"2006375",what does quotient of a power mean,trec-dl-2022
"2006394",what does septrin heal?,trec-dl-2022
"2006627",what is 311 for,trec-dl-2022
"2007055",what is a sulfa treat,trec-dl-2022
"2007419",what is cold bridging,trec-dl-2022
"2008871",what phylum includes the ascaris and the pinworm,trec-dl-2022
"2009553",why are the cotswolds so named,trec-dl-2022
"2009871",why was the massachusetts bay colony founded,trec-dl-2022
"2012431",ebola how can it be prevented,trec-dl-2022
"2012536",how to cook pork tenderloin steaks in oven,trec-dl-2022
"2013306",who is gehan homes,trec-dl-2022
"2016333",how to make ground beef empanadas,trec-dl-2022
"2017299",where is the us open  golf held this year,trec-dl-2022
"2025747",code for history of suicidal statements,trec-dl-2022
"2026150",definition secondary trauma,trec-dl-2022
"2026558",what do you call someone who writes biographies?,trec-dl-2022
"2027130",home child care definition,trec-dl-2022
"2027497",how often should you take your toddler to the potty when potty training,trec-dl-2022
"2028378",when is trial by jury used,trec-dl-2022
"2029260",what is wrong with amazon prime,trec-dl-2022
"2030323",description of mesquite plant,trec-dl-2022
"2030608",define: monsieur,trec-dl-2022
"2031726",yeast infection md,trec-dl-2022
"2032090",what to do if your partner is possessive?,trec-dl-2022
"2032949",what is the outside of a shape,trec-dl-2022
"2032956",how much was the saturn v,trec-dl-2022
"2033232",people who have fled the us because trump,trec-dl-2022
"2033396",what is unresponsiveness,trec-dl-2022
"2033470",cities near weeki wachee springs,trec-dl-2022
"2034205",how much magnolia bark to take for anxiety,trec-dl-2022
"2034676",the population of kings grant fayetteville prior to liberty hills,trec-dl-2022
"2035009",who sang the song maybe,trec-dl-2022
"2035447",how much money do i need in bangkok,trec-dl-2022
"2035565",what does duped mean,trec-dl-2022
"2036182",number of instagram post about unicorn frappuccino,trec-dl-2022
"2036968",what to do if antibiotics cause nausea,trec-dl-2022
"2037251",how many people watch nba basketball,trec-dl-2022
"2037609",define unstop,trec-dl-2022
"2037924",what can you do with heart of palm,trec-dl-2022
"2038466",how to check if someone has a restraining order,trec-dl-2022
"2038890",syracuse law school ranking,trec-dl-2022
"2039908",what is the name of a baby nurse,trec-dl-2022
"2040287",definition of now,trec-dl-2022
"2040352",what is the weight a chevrolet suburban,trec-dl-2022
"2040613",what does london breed stand for,trec-dl-2022
"2043895",motivational theories,trec-dl-2022
"2044423",what tax form do you get from short term disability,trec-dl-2022
"2045272",what hazards come with making paint,trec-dl-2022
"2046371",functions of three regions of sm intestine,trec-dl-2022
"2049417",what is peace in french?,trec-dl-2022
"2049687",what vaccination should u give show piglets,trec-dl-2022
"2053884",when a house goes into foreclosure what happens to items on the premises,trec-dl-2022
"2054355",what does chicken by-product meal add to pet food?,trec-dl-2022
"2055211",why does cat get restless at night,trec-dl-2022
"2055480",how many incidents of corneal abrasion,trec-dl-2022
"2055634",what type of videos can powerpoint play,trec-dl-2022
"2055795",collins the good to great,trec-dl-2022
"2056158",what phone to use in europe,trec-dl-2022
"2056323",how does magic leap optics work,trec-dl-2022
